"tract","Name","Household_Income_rP_gP_pall"
24005402505,"Randallstown, MD",33368
24005402306,"Windsor Mill, Baltimore, MD",33293
24005401507,"Windsor Mill, Baltimore, MD",33273
24510240300,"Riverside, Baltimore, MD",33259
24510010500,"Upper Fells Point, Baltimore, MD",33161
24005401200,"Woodlawn, MD",33091
24005430300,"Lansdowne - Baltimore Highlands, Halethorpe, MD",33057
24510040100,"Downtown, Baltimore, MD",33047
24005451401,"Middle River, MD",32982
24005402503,"Randallstown, MD",32800
24510260900,"Baltimore, MD",32706
24005452300,"Baltimore, MD",32553
24510130806,"Woodberry, Baltimore, MD",32483
24510260700,"Fifteenth Street, Baltimore, MD",32278
24510270903,"Hillen, Baltimore, MD",32121
24005421000,"Dundalk, MD",31916
24510080101,"Belair - Edison, Baltimore, MD",31912
24510280401,"Baltimore, MD",31896
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",31759
24005450800,"Essex, MD",31609
24005402304,"Gwynn Oak, Baltimore, MD",31559
24510250303,"Morrell Park, Baltimore, MD",31533
24510250401,"Brooklyn, Baltimore, MD",31454
24005491401,"Parkville, MD",31447
24510271900,"Glen, Baltimore, MD",31367
24005402405,"Gwynn Oak, Baltimore, MD",31306
24005430101,"Lansdowne - Baltimore Highlands, Lansdowne, MD",31213
24510270802,"Ramblewood, Baltimore, MD",31168
24510010200,"Patterson Park, Baltimore, MD",31108
24510020200,"Upper Fells Point, Baltimore, MD",31059
24510260102,"Frankford, Baltimore, MD",30843
24005450504,"Essex, MD",30668
24005402303,"Windsor Mill, Baltimore, MD",30370
24005402404,"Gwynn Oak, Lochearn, MD",30334
24005450503,"Essex, MD",30234
24005402307,"Pikesville, MD",30171
24510270803,"Loch Raven, Baltimore, MD",30166
24510260800,"Baltimore Highlands, Baltimore, MD",30040
24510260401,"Armistead Gardens, Baltimore, MD",30027
24510270801,"Idlewood, Baltimore, MD",29990
24005403202,"Gwynn Oak, Baltimore, MD",29898
24005402305,"Lochearn, Pikesville, MD",29706
24510270902,"Perring Loch, Baltimore, MD",29687
24005402406,"Windsor Mill, Milford Mill, MD",29390
24510020100,"Upper Fells Point, Baltimore, MD",29083
24510151100,"East Arlington, Baltimore, MD",28912
24510250101,"Beechfield, Baltimore, MD",28901
24510260302,"Belair - Edison, Baltimore, MD",28615
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",28147
24510270901,"New Northwood, Baltimore, MD",28134
24510270805,"Mid-Govans, Baltimore, MD",28019
24510280200,"Gwynn Oak, Baltimore, MD",27936
24005421300,"Dundalk, MD",27891
24510260201,"Frankford, Baltimore, MD",27754
24510030200,"Little Italy, Baltimore, MD",27607
24510280402,"Rognel Heights, Baltimore, MD",27472
24510280301,"Gwynn Oak, Baltimore, MD",27223
24510150702,"Walbrook, Baltimore, MD",26952
24510200800,"Irvington, Baltimore, MD",26669
24510230300,"South Baltimore, Baltimore, MD",26589
24510261000,"Patterson Park, Baltimore, MD",26563
24510280302,"West Forest Park, Baltimore, MD",26262
24510280404,"Irvington, Baltimore, MD",26152
24510150701,"Hanlon Longwood, Baltimore, MD",25970
24510250205,"Lakeland, Baltimore, MD",25836
24510260202,"Parkside, Baltimore, MD",25652
24510280102,"Gwynn Oak, Baltimore, MD",25637
24510250102,"Yale Heights, Baltimore, MD",25562
24510150800,"Garwyn Oaks, Baltimore, MD",25381
24510250402,"Brooklyn, Baltimore, MD",25348
24510210200,"Pigtown, Baltimore, MD",25184
24510120700,"Remington, Baltimore, MD",25123
24510200701,"Allendale, Baltimore, MD",25104
24510260203,"Frankford, Baltimore, MD",25018
24510150900,"Windsor Hills, Baltimore, MD",24977
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",24827
24510170100,"Downtown, Baltimore, MD",24776
24510250500,"Curtis Bay, Baltimore, MD",24644
24510150500,"Burleith-Leighton, Baltimore, MD",24561
24510260301,"Belair - Edison, Baltimore, MD",24400
24510271002,"Winston - Govans, Baltimore, MD",24373
24510090500,"Better Waverly, Baltimore, MD",24301
24510260404,"Baltimore Highlands, Baltimore, MD",24252
24510060200,"Baltimore, MD",24081
24510110100,"Downtown, Baltimore, MD",23998
24510280101,"Reisterstown Station, Baltimore, MD",23921
24510260402,"Frankford, Baltimore, MD",23702
24510160801,"Edmondson, Baltimore, MD",23701
24510151000,"Dorchester, Baltimore, MD",23654
24510271700,"Central Park Heights, Baltimore, MD",23612
24510130400,"Woodbrook, Baltimore, MD",23598
24510070100,"Baltimore, MD",23304
24510120600,"Old Goucher, Baltimore, MD",23281
24510200702,"Saint Joseph's, Baltimore, MD",23275
24510110200,"Downtown, Baltimore, MD",23225
24510080500,"Darley Park, Baltimore, MD",23070
24510250600,"Brooklyn, Baltimore, MD",23009
24510090400,"Better Waverly, Baltimore, MD",23006
24510270701,"Harford - Echodale - Perring Parkway, Baltimore, MD",23004
24510200600,"Baltimore, MD",22959
24510180200,"Poppleton, Baltimore, MD",22926
24510260403,"Cedonia, Baltimore, MD",22835
24510271801,"Arlington, Baltimore, MD",22834
24510160802,"Edmondson, Baltimore, MD",22834
24510160600,"Mosher, Baltimore, MD",22748
24510150300,"Coppin Heights, Baltimore, MD",22687
24510120300,"Harwood, Baltimore, MD",22463
24510180300,"Hollins Market, Baltimore, MD",22384
24510151200,"Park Circle, Baltimore, MD",22384
24510250207,"Cherry Hill, Baltimore, MD",22207
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",22158
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",21938
24510080302,"Berea, Baltimore, MD",21714
24510160700,"Rosemont, Baltimore, MD",21705
24510230100,"Baltimore, MD",21648
24510250203,"Cherry Hill, Baltimore, MD",21642
24510200100,"Lexington, Baltimore, MD",21614
24510080102,"Belair - Edison, Baltimore, MD",21607
24510271600,"Edgecomb, Baltimore, MD",21588
24510040200,"Downtown, Baltimore, MD",21579
24510151300,"Central Park Heights, Baltimore, MD",21395
24510130200,"Reservoir Hill, Baltimore, MD",21377
24510190200,"Pratt Monroe, Baltimore, MD",21278
24510120500,"Greenmount West, Baltimore, MD",21169
24510120400,"Barclay, Baltimore, MD",21057
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",21017
24510271802,"Langston Hughes, Baltimore, MD",20829
24510060300,"Butchers Hill, Baltimore, MD",20803
24510271001,"Baltimore, MD",20760
24510060400,"Baltimore, MD",20617
24510080600,"Broadway East, Baltimore, MD",20471
24510130300,"Penn North, Baltimore, MD",20316
24510150400,"Mondawmin, Baltimore, MD",20286
24510160100,"Harlem Park, Baltimore, MD",20279
24510150200,"Sandtown-Winchester, Baltimore, MD",20270
24510150600,"NW Community Action, Baltimore, MD",20233
24510080400,"Broadway East, Baltimore, MD",20089
24510200500,"Mill Hill, Baltimore, MD",20019
24510070200,"Madison - Eastend, Baltimore, MD",19977
24510210100,"Pigtown, Baltimore, MD",19924
24510030100,"Perkins Homes, Baltimore, MD",19867
24510160200,"Sandtown-Winchester, Baltimore, MD",19809
24510160400,"Midtown Edmondson, Baltimore, MD",19802
24510190300,"Mount Clare, Baltimore, MD",19764
24510080301,"Berea, Baltimore, MD",19744
24510090800,"East Baltimore Midway, Baltimore, MD",19724
24510260604,"O'Donnell Heights, Baltimore, MD",19532
24510170300,"Upton, Baltimore, MD",19493
24510070400,"Gay Street, Baltimore, MD",19477
24510060100,"Patterson Park, Baltimore, MD",19473
24510200300,"Bentalou-Smallwood, Baltimore, MD",19404
24510160300,"Sandtown-Winchester, Baltimore, MD",19401
24510200200,"Lexington, Baltimore, MD",19401
24510090900,"Oliver, Baltimore, MD",19381
24510080700,"Broadway East, Baltimore, MD",19370
24510140200,"Upton, Baltimore, MD",19350
24510250301,"Westport, Baltimore, MD",19279
24510080200,"Broadway East, Baltimore, MD",19122
24510170200,"McCulloh Homes, Baltimore, MD",19019
24510100200,"Baltimore, MD",18919
24510260303,"Claremont - Freedom, Baltimore, MD",18894
24510140300,"Druid Heights, Baltimore, MD",18429
24510280500,"Pleasant View Gardens, Baltimore, MD",18192
24510190100,"Franklin Square, Baltimore, MD",18168
24510200400,"Shipley Hill, Baltimore, MD",17979
24510250204,"Cherry Hill, Baltimore, MD",17902
24510150100,"Sandtown-Winchester, Baltimore, MD",17709
24510100100,"Johnson Square, Baltimore, MD",17650
24510080800,"Broadway East, Baltimore, MD",17386
24510130100,"Reservoir Hill, Baltimore, MD",17306
24510070300,"Milton - Montford, Baltimore, MD",17213
24510180100,"Poppleton, Baltimore, MD",15979
24005492500,"Baltimore, MD",
24005490605,"Towson, MD",
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",
24510100300,"Penn - Fallsway, Baltimore, MD",
24003980000,"Linthicum Heights, MD",
